INFO 2023-04-25 12:08:47,666 Watching for file changes with StatReloader
INFO 2023-04-25 12:12:09,415 Watching for file changes with StatReloader
INFO 2023-04-25 12:12:13,635 "GET / HTTP/1.1" 302 0
INFO 2023-04-25 12:12:13,721 "GET /accounts/login/?next=/ HTTP/1.1" 200 3989
INFO 2023-04-25 12:12:13,798 "GET /static/plugins/overlayScrollbars/css/OverlayScrollbars.min.css HTTP/1.1" 200 19736
INFO 2023-04-25 12:12:13,800 "GET /static/dist/css/login-page.css HTTP/1.1" 200 9064
INFO 2023-04-25 12:12:13,812 "GET /static/dist/js/jquery.formset.js HTTP/1.1" 200 13881
INFO 2023-04-25 12:12:13,820 "GET /static/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 80704
INFO 2023-04-25 12:12:13,821 "GET /static/plugins/toastr/toastr.min.css HTTP/1.1" 200 6454
INFO 2023-04-25 12:12:13,825 "GET /static/plugins/jquery/jquery.min.js HTTP/1.1" 200 88147
INFO 2023-04-25 12:12:13,828 "GET /static/plugins/toastr/toastr.min.js HTTP/1.1" 200 5253
INFO 2023-04-25 12:12:13,832 "GET /static/dist/js/adminlte.js HTTP/1.1" 200 59416
INFO 2023-04-25 12:12:13,835 "GET /static/plugins/overlayScrollbars/js/jquery.overlayScrollbars.min.js HTTP/1.1" 200 42395
INFO 2023-04-25 12:12:13,836 "GET /static/dist/js/demo.js HTTP/1.1" 200 13042
INFO 2023-04-25 12:12:13,838 "GET /static/dist/css/adminlte.min.css HTTP/1.1" 200 686718
INFO 2023-04-25 12:12:13,854 "GET /static/dist/img/login.png HTTP/1.1" 200 445475
INFO 2023-04-25 12:12:13,857 "GET /static/plugins/fontawesome-free/css/all.min.css HTTP/1.1" 200 58582
INFO 2023-04-25 12:12:14,818 "GET /static/plugins/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 79444
INFO 2023-04-25 12:12:14,899 "GET /static/plugins/fontawesome-free/webfonts/fa-regular-400.woff2 HTTP/1.1" 200 13584
INFO 2023-04-25 12:13:43,154 "POST /accounts/login/ HTTP/1.1" 302 0
INFO 2023-04-25 12:13:43,208 "GET / HTTP/1.1" 200 9298
INFO 2023-04-25 12:13:43,264 "GET /static/plugins/Datatables/datatables.min.css HTTP/1.1" 200 25807
INFO 2023-04-25 12:13:43,336 "GET /static/plugins/Datatables/datatables.min.js HTTP/1.1" 200 2042927
